Id,ActivityDay,Calories,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
1644430081,4/14/16,3226,11037,8.02,8.02,0,0.36,2.56,5.1,0,5,58,252,1125
2347167796,4/14/16,2010,10129,6.7,6.7,0,0.02,2.74,3.94,0,1,48,206,705
5577150313,4/15/16,4005,12087,9.08,9.08,0,3.92,1.6,3.56,0,115,54,199,695
2347167796,4/16/16,2670,22244,15.08,15.08,0,5.45,4.1,5.53,0,66,72,268,968
3977333714,4/16/16,1625,13459,9,9,0,2.03,4,2.97,0,31,83,153,663
5577150313,4/16/16,4274,14269,10.66,10.66,0,6.64,1.28,2.73,0,184,56,158,472
3977333714,4/17/16,1529,10415,6.97,6.97,0,0.7,2.35,3.92,0,11,58,205,600
4702921684,4/17/16,3394,12692,10.29,10.29,0,0.96,3.46,5.88,0,12,66,302,437
5577150313,4/17/16,4552,12231,9.14,9.14,0,5.98,0.83,2.32,0,200,37,159,525
1644430081,4/19/16,3300,11256,8.18,8.18,0,0.36,2.53,5.3,0,5,58,278,1099
3977333714,4/19/16,1638,12414,8.78,8.78,0,2.24,2.45,3.96,0,19,67,221,738
7086361926,4/19/16,2944,10688,7.29,7.29,0,3.53,1.23,2.51,0,67,69,124,671
2022484408,4/20/16,2897,15112,10.67,10.67,0,3.34,1.93,5.4,0,48,63,276,1053
2347167796,4/20/16,2198,10999,7.27,7.27,0,0.68,1.81,4.78,0,11,43,269,1011
3977333714,4/20/16,1554,11658,7.83,7.83,0,0.2,4.35,3.28,0,2,98,164,845
6775888955,4/20/16,3727,10771,7.72,7.72,0,3.77,1.74,2.22,0,70,113,178,1079
5577150313,4/21/16,4018,10830,8.09,8.09,0,3.65,1.66,2.78,0,110,74,175,670
7007744171,4/22/16,2889,15299,10.24,10.24,0,4.1,1.76,4.37,0,64,50,261,1065
7086361926,4/22/16,2846,9753,6.53,6.53,0,2.87,0.97,2.67,0,58,59,153,762
8583815059,4/22/16,2944,8687,6.78,6.78,0,0.29,2.41,4.08,0,4,54,212,1170
3977333714,4/23/16,1638,12058,8.07,8.07,0,0,4.22,3.85,0,0,92,252,724
4702921684,4/23/16,3691,15126,12.27,12.27,0,0.76,3.24,8.27,0,9,66,408,469
8583815059,4/23/16,3012,9423,7.35,7.35,0,0.53,2.03,4.75,0,7,44,238,1151
8792009665,4/23/16,2748,5245,3.36,3.36,0,0.16,0.44,2.75,0,8,45,232,795
5577150313,4/24/16,4392,15764,11.78,11.78,0,7.65,2.15,1.98,0,210,65,141,425
8583815059,4/24/16,2889,8286,6.46,6.46,0,0.15,2.05,4.27,0,2,44,206,1188
8253242879,4/25/16,1909,6829,4.51,4.51,0,0.36,2.39,1.77,0,7,54,118,1261
8583815059,4/26/16,3093,10499,8.19,8.19,0,0.07,4.22,3.89,0,1,91,214,1134
4319703577,4/27/16,2324,10780,7.23,7.23,0,0.41,1.92,4.91,0,6,47,300,680
4388161847,4/27/16,3074,11193,8.61,8.61,0,0.7,2.51,5.39,0,11,48,241,684
1644430081,4/28/16,3108,9405,6.84,6.84,0,0.2,2.32,4.31,0,3,53,227,1157
7086361926,4/28/16,2862,11584,7.8,7.8,0,2.79,1.64,3.36,0,54,48,161,810
8583815059,4/29/16,3513,15168,11.83,11.83,0,3.9,3,4.92,0,46,67,258,1069
1644430081,4/30/16,3846,18213,13.24,13.24,0,0.63,3.14,9.46,0,9,71,402,816
3977333714,4/30/16,1650,13238,9.2,9.2,0,3.69,2.1,3.41,0,43,52,194,687
4388161847,4/30/16,3283,12533,9.64,9.64,0,0.7,2,6.94,0,14,43,300,537
5577150313,4/30/16,4501,12363,9.24,9.24,0,5.83,0.79,2.61,0,207,45,163,621
1624580081,5/1/16,2690,36019,28.03,28.03,0,21.92,4.19,1.91,0.02,186,63,171,1020
5577150313,5/1/16,4546,13368,9.99,9.99,0,5.31,1.44,3.24,0,194,72,178,499
3977333714,5/2/16,1760,16520,11.05,11.05,0,1.54,6.48,3.02,0,24,143,176,713
6962181067,5/2/16,2162,12912,8.54,8.54,0,1.2,2,5.34,0,18,39,313,655
1644430081,5/3/16,3324,12850,9.34,9.34,0,0.72,4.09,4.54,0,10,94,221,1115
3977333714,5/4/16,1628,13559,9.44,9.44,0,1.81,4.58,2.89,0,14,96,142,852
3977333714,5/5/16,1618,12312,8.58,8.58,0,1.76,4.11,2.71,0,14,88,178,680
4388161847,5/5/16,2899,9603,7.38,7.38,0,0.63,1.67,5.09,0,12,39,199,896
3977333714,5/6/16,1590,11677,8.28,8.28,0,3.11,2.51,2.67,0,29,55,168,676
4388161847,5/6/16,3425,13175,10.13,10.13,0,2.11,2.09,5.93,0,33,45,262,1100
3977333714,5/7/16,1574,11550,7.73,7.73,0,0,4.13,3.59,0,0,86,208,703
4388161847,5/7/16,4022,22770,17.54,17.54,0,9.45,2.77,5.33,0,120,56,260,508
3977333714,5/8/16,1633,13585,9.09,9.09,0,0.68,5.24,3.17,0,9,116,171,688
